Files	file_content	vessel_type	position_in_tube	time_in_water	slide_id
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0022.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0023.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0024.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0025.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0026.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0027.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/s1-cr3-t-timelapse_0028.nd2	raw brightfield time-lapse microscopy data	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_001.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_002.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_003.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_004.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_005.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_006.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_007.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_008.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_009.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0010.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0011.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0012.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0013.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0014.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0015.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0016.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0017.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0018.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0019.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0020.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
