total_time,total_distance,net_distance,max_sprint_length,confinement_ratio,mean_curvilinear_speed,mean_linear_speed,mean_angular_speed,num_rotations,num_direction_changes,pivot_rate,cell_count,experiment_ID,strain,substrate,position_in_tube,time_in_water,well_ID,slide_ID,timelapse_ID,pool_ID
10.452090000000117,405.98848493311505,53.390511957332045,15.908358955301793,0.13150745387797863,38.84280416003981,5.108118276567791,4.1512055949602065,0.0,27,0.06650434926608359,3,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,1,2x2
19.953990000000225,512.9932083531139,40.957943085979174,9.85200756934347,0.07984110202446612,25.70880352015352,2.052619204779531,2.376975939747592,1.0,31,0.06042964993536805,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,1,2x3
10.70214000000012,478.44913431686496,68.66924395578305,14.37648961876198,0.14352464876716678,44.705931179825676,6.41640307039361,2.7813574795013127,2.0,21,0.04389181313910001,2,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,1,3x1
19.953990000000225,925.3357597159218,76.35709360771727,14.874828668521246,0.08251825654199176,46.373470153884575,3.8266579069006457,2.660576951074606,1.0,33,0.03566273069370085,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,1,3x2
19.953990000000225,938.6867718078544,14.939259430627878,15.94999865579939,0.015915063340943603,47.04255999967143,0.7486853221149108,2.696590329794467,0.0,41,0.043678041740203136,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,2,1x1
17.6535300000002,655.7936787532183,37.23970963613209,14.594645371942534,0.05678570996129678,37.14801961722165,2.1094766676201115,4.0726524786046765,0.0,46,0.07014401250017273,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,2,2x0
14.102820000000158,344.451583443226,91.57890408250375,8.01586370422256,0.2658687272302761,24.424305454031334,6.493659004546802,1.2649060416185631,0.0,9,0.02612849071568695,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,2,3x0
12.352470000000139,641.9299497675552,59.371826223680856,18.983728432055216,0.09248957186867442,51.96774003640956,4.806474026950091,2.9048148424511644,0.0,20,0.031156047489670893,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,2,3x3
15.25305000000017,758.3587176345513,57.10172479037338,17.600130062624117,0.07529645728670897,49.71849680126551,3.743626670755865,3.139872927810006,3.0,33,0.04351502690301044,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,3,1x2
18.55371000000021,413.42676560770286,92.32247401343506,11.600220211624006,0.22331034585467324,22.282700635490055,4.975957585487432,4.158648332822323,3.0,49,0.1185215957848643,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,3,2x1
15.15303000000017,576.5638284046968,57.40548646559321,13.902076120554568,0.09956484197843164,38.049408494848244,3.7883833441623604,2.2915218758609326,0.0,18,0.03121944026527726,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,3,2x2
19.953990000000225,419.8583446881199,76.96833281854758,8.428111580705803,0.1833197643736755,21.04132279750141,3.8572903373484055,2.8661620823155842,2.0,40,0.0952702274613903,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,3,3x4
19.953990000000225,1035.3780234824003,85.62065467387858,19.559607937710325,0.08269506666357593,51.888270139575525,4.290903958249834,3.455315090583781,3.0,42,0.040564894219733194,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,4,0x3
11.702340000000131,653.5291372524609,23.82845151700137,17.32993486264047,0.036461192254074425,55.84602201375568,2.0362125452688185,2.0330431881959705,1.0,15,0.02295230487054082,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,5,3x1
12.802560000000144,774.8865121944516,87.21207489868763,19.026341529439605,0.11254819063982166,60.52590358447396,6.81208093527284,2.402552620573212,1.0,17,0.021938696483252227,2,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,6,2x0
13.752750000000153,693.4787769951221,80.05339223588288,16.8117369054533,0.11543740759127222,50.424735198059615,5.820900709740378,3.0661140580125577,0.0,26,0.03749213510564705,3,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,6,3x1
19.953990000000225,469.8233648481745,7.684639918072383,9.165140760666077,0.016356444768462524,23.54533428392864,0.38511795977006585,8.419100455891082,14.0,103,0.21923132757197997,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,6,3x3
10.752150000000121,509.2141963719501,23.723299073314223,14.429566017140417,0.04658805516880325,47.359290595085106,2.20637724299921,1.4883049918342097,1.0,11,0.02160191149102443,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,7,1x3
14.902980000000166,887.1117845610552,15.072981048388423,19.426222343445943,0.016991072952374956,59.5257985021147,1.0114071848978026,2.925592559601897,1.0,29,0.032690355944656135,2,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,7,2x3
19.953990000000225,219.91443219064365,6.168313683320635,3.606799469250376,0.028048698859260535,11.021075593935908,0.30912683043945427,3.042858598604981,9.0,39,0.1773417033684762,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,7,3x3
18.353670000000207,731.5402296205139,54.38767792907202,13.757125373180315,0.07434680380774902,39.857980971680625,2.963313491474534,4.231056935085281,2.0,52,0.07108289864929913,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,7,4x1
19.953990000000225,974.7339825053745,54.04955428360491,16.735920764449133,0.05545056933860095,48.84907642558523,2.708709099463531,2.8459812260914346,3.0,34,0.034881311835060116,1,AMID-04,cc1373,pools,top,21,NA,S1-Cs3-T,8,0x0
